sku,name,brand,category,packingUnit,company,unit,costPrice,minSellingPrice,minStock,maxStock,reorderLevel
fanto-orange-candy-box-rs-1,Fanto Orange Candy Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
milky-soft-candy-box-rs-1,Milky Soft Candy Box Rs.1,,Candy Box,1 X 18 X 150,Kims,CTN,2170,2170,0,,0
splasher-mango-candy-box-rs-1,Splasher (Mango) Candy Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
super-khopra-candy-box-rs-1,Super Khopra Candy Box Rs.1,,Candy Box,1 X 24 X 150,Kims,CTN,3034,3034,0,,0
hokit-candy-box-rs-1,Hokit Candy Box Rs.1,,Candy Box,1 X 18 X 150,Kims,CTN,2170,2170,0,,0
darbari-meva-mix-dry-fruits-rs-5,Darbari Meva (Mix Dry Fruits) Rs.5,,Dry Fruits,1 X 18 X 30,Kims,CTN,2026,2026,0,,0
piknik-orange-wafer-rs-5,Piknik Orange Wafer Rs.5,,Waffers,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
tit-bit-strawberry-vanilla-rs-5-30-packs,Tit Bit Strawberry Vanilla Rs.5 (30-packs),,Waffers,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
tik-tok-orange-wafers-box-rs-10-15-piece,Tik Tok Orange Wafers Box Rs.10 (15 pieces),,Waffers,1 X 18 X 15,Kims,CTN,2170,2170,0,,0
tik-tok-orange-wafers-hanger-rs-10-15-pi,Tik Tok Orange Wafers Hanger Rs.10 (15 pieces),,Waffers,1 X 20 X 15,Kims,CTN,2410,2410,0,,0
tik-tok-strawberry-wafer-rs-20-12-pieces,Tik Tok Strawberry Wafer Rs.20 (12 pieces),,Waffers,1 X 18 X 12,Kims,CTN,3248,3248,0,,0
krunchy-waffer-strawberry-rs-30,Krunchy Waffer (Strawberry) Rs.30,,Waffers,1 X 18 X 6,Kims,CTN,2436,2436,0,,0
sip-strawberry-liquid-cream-box-rs-10,Sip Strawberry (Liquid Cream) Box Rs.10,,Liquid Chocolate,18 X 15,Kims,CTN,2188,2188,0,,0
sip-strawberry-liquid-cream-jar-rs-10,Sip Strawberry (Liquid Cream) Jar Rs.10,,Liquid Chocolate,12 X 35,Kims,CTN,3526,3526,0,,0
chokozo-strawberry-rs-5,Chokozo Strawberry Rs.5,,Liquid Chocolate,1X24X30,Kims,CTN,2770,2770,0,,0
chokozo-strawberry-jar-rs-5,Chokozo Strawberry Jar Rs.5,,Liquid Chocolate,1 X 12 X 60,Kims,CTN,2870,2870,0,,0
lazeez-daal-moth-rs-50,Lazeez Daal Moth Rs.50,,Nimko,1 X 12 X 6,Kims,CTN,2770,2770,0,,0
shinwari-mix-nimko-rs-20-12-pieces,Shinwari Mix Nimko Rs.20 (12 pieces),,Nimko,1 X 12 X 12,Kims,CTN,2230,2230,0,,0
chicken-spicy-mix-nimko-rs-10-15-pieces,Chicken Spicy Mix Nimko Rs.10 (15 pieces),,Nimko,1 X 18 X 15,Kims,CTN,2134,2134,0,,0
achar-chaska-mix-nimko-rs-5-30-pieces,Achar Chaska (Mix Nimko) Rs.5 (30 pieces),,Nimko,1 x 18 x 30,Kims,CTN,2134,2134,0,,0
chicken-masala-mix-nimko-rs-5-30-pieces,Chicken Masala Mix Nimko Rs.5 (30 pieces),,Nimko,1 x 18 x 30,Kims,CTN,2134,2134,0,,0
fanatacy-rs-5-30-pieces,Fanatacy Rs.5 (30 pieces),,Chocolates,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
p-nut-rs-5-30-pieces,P-Nut Rs.5 (30 pieces),,Chocolates,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
p-nut-rs-10,P-Nut Rs.10,,Chocolates,1 X 18 X 15,Kims,CTN,1898,1898,0,,0
fantacy-rs-10,Fantacy Rs.10,,Chocolates,1 X 18 X 15,Kims,CTN,1898,1898,0,,0
choco-delight-creamy-chocolate-rs-10,Choco Delight Creamy Chocolate Rs.10,,Moulded Chocolate,1 X 12 X 24,Kims,CTN,2358,2358,0,,0
secretechocolate-rs-5-30-pieces,Secretechocolate Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
jammy-chocolate-rs-5-30-pieces,Jammy Chocolate Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
jammy-strawberry-jam-rs-5,Jammy Strawberry Jam Rs.5,,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
doodle-chocolate-rs-5,Doodle Chocolate Rs.5,,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
milky-chocolate-rs-5,Milky Chocolate Rs.5,,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
hello-chocolate-coated-biscuit-rs-5,Hello Chocolate Coated Biscuit Rs.5,,Chocolate Coated Biscuit,18X30,Kims,CTN,2250,2250,0,,0
spark-rs-10-24-pieces,Spark Rs.10 (24 pieces),,Chocolate Coated Wafer/Biscuit,1 X 18 X 24,Kims,CTN,3600,3600,0,,0
twinkle-cake-strawberry-vanila-rs-5-30-p,Twinkle Cake (Strawberry & Vanila) Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
glory-biscuits-egg-milk-rs-50,Glory Biscuits Egg & Milk Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
superb-cookies-elachi-rs-50,Superb Cookies (Elachi) Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
tea-time-cookies-rs-50,Tea Time Cookies Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
danish-butter-cookies-mp-rs-50,Danish Butter Cookies MP Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
superb-biscuit-rs-50,Superb Biscuit Rs.50,,Roll Pack,1 X 48,Kims,CTN,1834,1834,0,,0
sopreme-fp-rs-50,Sopreme FP Rs.50,,Family Pack,1 x 96,Kims,CTN,3850,3850,0,,0
superb-cookies-elachi-rs-40,Superb Cookies (Elachi) Rs.40,,Midi Pack,12 X 8,Kims,CTN,3120,3120,0,,0
lemon-crunch-mp-rs-40,Lemon Crunch MP Rs.40,,Midi Pack,12 X 8,Kims,CTN,3120,3120,0,,0
chocolate-crunch-m-p-rs-30,Chocolate Crunch M/P Rs.30,,Midi Pack,1 X 18 X 6,Kims,CTN,2602,2602,0,,0
biskut-egg-milk-cookies-rs-20,Biskut (Egg & Milk Cookies) Rs.20,,Midi Pack,1 X 18 X 10,Kims,CTN,2782,2782,0,,0
glucose-magic-mp-rs-20,Glucose Magic MP Rs.20,,Midi Pack,1 X 18 X 8,Kims,CTN,2296,2296,0,,0
superb-milk-chocolate-rs-20-8-pieces,Superb (Milk & Chocolate) Rs.20 (8 pieces),,Midi Pack,1 X 18 X 8,Kims,CTN,2296,2296,0,,0
enjoy-peanut-rs-20,Enjoy Peanut Rs.20,,Midi Pack,1 X 18 X 6,Kims,CTN,1666,1666,0,,0
chocolate-sandwich-mp-rs-10,Chocolate Sandwich MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
