sku,name,brand,category,packingUnit,company,unit,costPrice,minSellingPrice,minStock,maxStock,reorderLevel
nut-khut-chocolate-rs-10,Nut Khut Chocolate Rs.10,,Moulded Chocolate,1 X 18 X 15,Kims,CTN,2250,2250,0,,0
boomy-rs-5-30-pieces,Boomy Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
choco-dream-rs-5-30-pieces,Choco Dream Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
krazzy-nut-rs-5-30-pieces,Krazzy Nut Rs.5 (30 pieces),,Moulded Chocolate,1 X 18 X 30,Kims,CTN,2170,2170,0,,0
choco-bisc-rs-10-24-pieces,Choco Bisc Rs.10 (24 pieces),,Chocolate Coated Wafer/Biscuit,1 X 18 X 24,Kims,CTN,3415,3415,0,,0
krispo-wafers-chocolate-rs-20,Krispo Wafers Chocolate Rs.20,,Chocolate Coated Wafer,12x12,Kims,CTN,2340,2340,0,,0
sweety-soft-cake-rs-5-30-pieces,Sweety Soft Cake Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
twinkle-cake-chocolate-vanilla-rs-5-30-p,Twinkle Cake (Chocolate & Vanilla) Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
shake-pineapple-cake-rs-5-30-pieces,Shake Pineapple Cake Rs.5 (30 pieces),,Soft Cake,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
strawberry-vanila-swiss-roll-cake-rs-10-,Strawberry Vanila (Swiss Roll) Cake Rs.10 (15 pieces),,Swiss Roll Cake,1 X 18 X 15,Kims,CTN,2260,2260,0,,0
swiss-roll-banana-rs-10-15-pieces,Swiss Roll (Banana) Rs.10 (15 pieces),,Swiss Roll Cake,1 X 18 X 15,Kims,CTN,2260,2260,0,,0
fix-strawberry-rs-10,Fix (Strawberry) Rs.10,,Chocolate Coated Cake,1 X 24 X15,Kims,CTN,2893,2893,0,,0
muffinns-chocolate-rs-10,Muffinns (Chocolate) Rs.10,,Kup Cake,1 X 18 X 15,Kims,CTN,2224,2224,0,,0
kup-cake-strawberry-rs-10,Kup Cake (Strawberry) Rs.10,,Kup Cake,1 X 18 X 15,Kims,CTN,2224,2224,0,,0
donut-narial-rs-10,Donut Narial Rs.10,,Donuts,1 X 18 X 15,Kims,CTN,2296,2296,0,,0
superb-soft-cake-egg-milk-rs-20-12-piece,Superb Soft Cake (Egg & Milk) Rs.20 (12 pieces),,Slice Cake,18 X 12,Kims,CTN,3429,3429,0,,0
bubblo-double-twist-bubble-rs-5,Bubblo Double Twist Bubble Rs.5,,Bubble,1 X 18 X 30,Kims,CTN,1890,1890,0,,0
bubblo-double-twist-bubble-jar-rs-5,Bubblo Double Twist Bubble (Jar) Rs.5,,Bubble,1 X 6 X 100,Kims,CTN,2100,2100,0,,0
sabaz-elaichi-center-filled-gum-rs-2-5,Sabaz Elaichi Center Filled Gum Rs.2.5,,Bubble,36 X 36,Kims,CTN,2334,2334,0,,0
bumper-bubble-amrood-rs-2,Bumper Bubble (Amrood) Rs.2,,Bubble,1 X 24 X 75,Kims,CTN,2890,2890,0,,0
foxi-chocolate-beans-rs-5-40-pieces,Foxi (Chocolate Beans) Rs.5 (40 pieces),,Bunties,1 X 18 X 40,Kims,CTN,3034,3034,0,,0
smart-phone-chocolate-beans-rs-5,Smart Phone (Chocolate Beans) Rs.5,,Bunties,1 X 18 X 40,Kims,CTN,3034,3034,0,,0
magic-lolly-pop-rs-5,Magic Lolly Pop Rs.5,,Lolly Pop,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
sandwich-lolly-pop-strawberry-vanilla-rs,Sandwich Lolly Pop Strawberry Vanilla Rs.5,,Lolly Pop,1 X 12 X 50,Kims,CTN,2398,2398,0,,0
panda-pop-chocolate-vanilla-lolly-pop-rs,Panda Pop (Chocolate & Vanilla) Lolly Pop Rs.5,,Lolly Pop,1 X 18 X 30,Kims,CTN,2224,2224,0,,0
panda-pop-chocolate-vanilla-lolly-pop-ja,Panda Pop (Chocolate & Vanilla) Lolly Pop Jar Rs.5,,Lolly Pop,1 X 12 X 60,Kims,CTN,2890,2890,0,,0
pink-ponk-strawberry-vanilla-cup-rs-5,Pink Ponk Strawberry & Vanilla Cup Rs.5,,Cream Cup,1 X 12 X 60,Kims,CTN,3130,3130,0,,0
choco-boom-rs-5,Choco Boom Rs.5,,Cream Cup,1 X 12 X 60,Kims,CTN,2890,2890,0,,0
